Mon 20 Feb 2023 08:22:56 PM JST
f25d696144cb22bf25b110128465dc10f988f4b3
Problem = 0080	Total Cost = 357868
Problem = 0081	Total Cost = 330792
Problem = 0082	Total Cost = 558016
Problem = 0083	Total Cost = 431044
Problem = 0084	Total Cost = 506960
Problem = 0085	Total Cost = 306072
Problem = 0086	Total Cost = 366808
Problem = 0087	Total Cost = 681812
Problem = 0088	Total Cost = 776780
Problem = 0089	Total Cost = 248182
Problem = 0090	Total Cost = 608654
Problem = 0091	Total Cost = 372180
Problem = 0092	Total Cost = 327680
Problem = 0093	Total Cost = 532776
Problem = 0094	Total Cost = 319472
Problem = 0095	Total Cost = 460492
Problem = 0096	Total Cost = 302208
Problem = 0097	Total Cost = 413724
Problem = 0098	Total Cost = 481184
Problem = 0099	Total Cost = 464628
